2025-08-15T06:12:00.767790 | [NEWS] Lancement boucle d'analyse des news…
2025-08-15T06:12:38.169193 | [NEWS] Aucun élément à analyser dans news_data, skip boucle
2025-08-15T06:21:02.073523 | [MARKET ANALYSIS] Régime détecté: Range/Scalping | Volatilité: 0.0722 | Tendance: 0.0005
2025-08-15T06:21:02.073972 | 🔈 Régime de marché détecté: Range/Scalping
2025-08-15T06:24:04.322354 | Démarrage cycle trading
2025-08-15T06:42:10.321055 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: 0.0240 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:10.444205 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: 0.0242 | Tech: 0.02 | AI: 0.15
2025-08-15T06:42:10.566517 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.19 | Score: -0.1920 | Tech: 0.02 | AI: 0.15
2025-08-15T06:42:10.645707 | [TRADE-DECISION] SUIUSDC | Action: NEUTRAL | Confiance: 0.17 | Score: 0.1700 | Tech: 0.19 | AI: 0.15
2025-08-15T06:42:10.769744 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: -0.0207 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:10.893350 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: 0.1401 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:11.017932 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.06 | Score: 0.0611 | Tech: 0.00 | AI: 0.15
2025-08-15T06:42:11.143289 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.06 | Score: -0.0555 | Tech: 0.04 | AI: 0.15
2025-08-15T06:42:11.266371 | [TRADE-DECISION] LINKUSDC | Action: NEUTRAL | Confiance: 0.10 | Score: -0.1034 | Tech: 0.06 | AI: 0.15
2025-08-15T06:42:11.388490 | [TRADE-DECISION] LINKUSDC | Action: BUY | Confiance: 0.30 | Score: 0.3020 | Tech: 0.43 | AI: 0.15
2025-08-15T06:42:25.757621 | [NEWS CHECK] ⚠️ News sans symboles: XION s’associe à Bybit EU pour son premier Launchpool en Europe
2025-08-15T06:42:25.758013 | [NEWS CHECK] ⚠️ News sans symboles: Régulation crypto : les wallets en self-custody ne seront pas bannis du Google P
2025-08-15T06:42:25.758047 | [NEWS CHECK] ⚠️ News sans symboles: Finance décentralisée : Coinbase perd 300 000 $ en crypto à cause d’une étourder
2025-08-15T06:42:25.758076 | [NEWS CHECK] ⚠️ News sans symboles: Google Play bannit les wallet crypto avant de faire marche arrière : La self-cus
2025-08-15T06:42:25.758104 | [NEWS CHECK] ⚠️ News sans symboles: Bybit offre 275 000 USDC de récompenses — Comment réclamer votre part ?
2025-08-15T06:42:25.758134 | [NEWS CHECK] ⚠️ News sans symboles: IPO crypto : Bullish explose de 150 % dès son entrée à Wall Street
2025-08-15T06:42:25.758160 | [NEWS CHECK] ⚠️ News sans symboles: Donald Trump prévoit « une grande action en justice » à l’encontre du président 
2025-08-15T06:42:25.758188 | [NEWS CHECK] ⚠️ News sans symboles: Comment sécuriser votre environnement numérique et financier ?
2025-08-15T06:42:25.758215 | [NEWS CHECK] ⚠️ News sans symboles: L’OKB d’OKX explose de 136 % en 24 heures — Que s’est-il passé ?
2025-08-15T06:42:25.758240 | [NEWS CHECK] ⚠️ News sans symboles: Stablecoins : Les banques américaines veulent fermer la « faille » du GENIUS Act
2025-08-15T06:42:25.758265 | [NEWS CHECK] ⚠️ News sans symboles: La startup d'IA Perplexity compte dépenser 34 milliards de dollars pour racheter
2025-08-15T06:42:25.758290 | [NEWS CHECK] ⚠️ News sans symboles: Do Kwon plaide coupable : la chute du fondateur de Terraform Labs prend un tourn
2025-08-15T06:42:25.758314 | [NEWS CHECK] ⚠️ News sans symboles: Nasdaq, S&P500, Nikkei : les Bourses mondiales battent des records
2025-08-15T06:42:25.758338 | [NEWS CHECK] ⚠️ News sans symboles: La plateforme d'échange Bullish vise une introduction en Bourse de plus d'un mil
2025-08-15T07:03:58.026212 | Démarrage cycle trading
2025-08-15T07:04:04.569601 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.01 | Score: 0.0074 | Tech: 0.00 | AI: 0.15
2025-08-15T07:04:04.719866 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.26 | Score: 0.2601 | Tech: -0.00 | AI: 0.15
